"fileName","modelIsValidBPMN","applicationDomain","modelTNT","modelTNCS","modelTNA","modelTNDO","modelTNG","modelTNEE","modelTNIE","modelTNSE","modelTNE","modelTNSF","modelNP","modelNL","modelCLA","modelCLP","modelPDOPin","modelPDOPout","modelPDOTOut","modelPLT","tapeGU","tapeALU","tapeRLU","tapeLUB","tapeAvgLUB","tapeDI","tapeDD","tapeAvgDI","tapeAvgDD","tapeMI","tapeMD","tapeAvgMI","tapeAvgMD","tapeExecutionTimeMs","endEventRequiredErrors","startEventRequiredErrors","fakeJoinErrors","noDisconnectedErrors","superfluousGatewayErrors","subProcessBlankStartEventErrors","noGatewayJoinForkErrors","noImplicitSplitErrors","noInclusiveGatewayErrors","conditionalFlowErrors"
"00000.bpmn","false","","9","0","10","0","2","2","0","0","2","17","1","2","0.5882352941176471","0","0","0","0","0.2","0","0","","","0","","","0","0","","","0","0","36.69778000000042","0","0","2","0","0","0","0","0","0","0"
"00001.bpmn","false","","7","0","7","0","0","0","0","0","1","11","0","0","0.6363636363636364","0","0","0","0","0","0","0","","","0","","","0","0","","","0","0","13.456605999999738","1","0","3","0","0","0","0","2","0","0"
"00002.bpmn","false","","9","0","9","1","2","2","3","3","2","18","2","3","0.5","3","0","1","0.1111111111111111","0.3333333333333333","123","61.5","0.5609756097560976,0.43902439024390244","0.060975609756097615,-0.06097560975609756","0.000000000000000027755575615628914","0,0","0,0","0","0","1,1","1,1","1","1","47.239320000000134","0","0","1","0","0","0","1","0","0","0"
"00003.bpmn","false","","17","0","17","3","9","4","0","0","3","37","3","2","0.4594594594594595","0.3333333333333333","0.6666666666666666","0","0","0.11764705882352941","267","89","0.6928838951310862,0.23220973782771537,0.0749063670411985","0.35955056179775285,-0.10112359550561795,-0.2584269662921348","0.00000000000000003700743415417188","0,0,0","0,0,0","0","0","0,1,0","0,0,1","0.3333333333333333","0.3333333333333333","44.06275700000015","0","0","4","0","0","0","0","0","0","5"
"00004.bpmn","false","","7","0","7","0","4","1","6","6","2","19","2","4","0.3684210526315789","0","0","0","0","0.5714285714285714","0","0","","","0","","","0","0","","","0","0","44.38814100000036","1","0","0","0","2","0","0","0","0","0"
"00005.bpmn","true","Customer Service","15","0","15","0","4","3","1","1","3","27","3","5","0.5555555555555556","1","0","0","0","0.3333333333333333","211","70.33333333333333","0.6113744075829384,0.25118483412322273,0.13744075829383887","0.27804107424960506,-0.08214849921011058,-0.19589257503949445","0.00000000000000000925185853854297","0,0,0","0,0,0","0","0","2,1,0","1,1,1","1","1","46.12149400000044","0","0","3","0","0","0","0","0","0","0"
"00006.bpmn","false","","6","0","6","3","2","1","2","2","2","13","0","2","0.46153846153846156","0","0","1","0.5","0.3333333333333333","0","0","","","0","","","0","0","","","0","0","16.338299000000006","0","0","2","0","0","0","0","1","0","0"
"00007.bpmn","false","","17","0","17","3","9","4","0","0","3","37","3","2","0.4594594594594595","0.3333333333333333","0.6666666666666666","0","0","0.11764705882352941","267","89","0.6928838951310862,0.23220973782771537,0.0749063670411985","0.35955056179775285,-0.10112359550561795,-0.2584269662921348","0.00000000000000003700743415417188","0,0,0","0,0,0","0","0","0,1,0","0,0,1","0.3333333333333333","0.3333333333333333","43.88751599999978","0","0","4","0","0","0","0","0","0","5"
"00008.bpmn","false","","7","0","7","0","4","2","4","4","1","17","2","0","0.4117647058823529","1","0","0","0","0","121","60.5","0.6694214876033058,0.3305785123966942","0.16942148760330578,-0.16942148760330578","0","0,0","0,0","0","0","1,1","1,1","1","1","15.336922999999842","1","1","0","0","0","0","1","0","0","0"
"00009.bpmn","false","","5","0","6","2","1","2","0","0","1","7","0","1","0.8571428571428571","0","0.5","0.5","0.2","0.16666666666666666","0","0","","","0","","","0","0","","","0","0","9.945224000000053","0","0","0","0","0","0","0","1","0","0"
