"fileName","modelIsValidBPMN","modelTNT","modelTNCS","modelTNA","modelTNDO","modelTNG","modelTNEE","modelTNIE","modelTNSE","modelTNE","modelTNSF","modelNP","modelNL","modelCLA","modelCLP","modelPDOPin","modelPDOPout","modelPDOTOut","modelPLT","tapeGU","tapeALU","tapeRLU","tapeLUB","tapeAvgLUB","tapeDI","tapeDD","tapeAvgDI","tapeAvgDD","tapeMI","tapeMD","tapeAvgMI","tapeAvgMD","tapeExecutionTimeMs","applicationDomain","endEventRequiredErrors","startEventRequiredErrors","fakeJoinErrors","noDisconnectedErrors","superfluousGatewayErrors","subProcessBlankStartEventErrors","noGatewayJoinForkErrors","noImplicitSplitErrors","noInclusiveGatewayErrors","conditionalFlowErrors"
"10_1552924503407_1124201624283332.bpmn","False","15","14","29","0","30","17","14","14","9","103","5","5","0.2815533980582524","3.4","0","0","0","0.1724137931034483","446","89.2","0.21524663677130046,0.19506726457399104,0.289237668161435,0.21076233183856502,0.08968609865470852","0.015246636771300448,-0.004932735426008972,0.08923766816143497,0.010762331838565009,-0.1103139013452915","-8.32667268468867E-18","0,0,0,0,0","0,0,0,0,0","0","0","1,3,3,3,1","3,2,2,3,2","2.2","2.4","160.74731800000018","Academics","12","12","0","0","0","0","0","0","1","0"
"10_1585147546295_1524241421534724.bpmn","False","9","0","9","0","2","4","0","0","4","15","4","0","0.6","1","0","0","0","0","125","31.25","0.52,0.16,0.16,0.16","0.27,-0.09,-0.09,-0.09","6.93889390390723E-18","0,0,0,0","0,0,0,0","0","0","1,1,1,1","1,1,1,1","1","1","21.82713100000001","","0","0","0","0","0","0","0","0","0","0"
"10_1585148095349_2111481367343331.bpmn","False","16","0","16","0","2","11","0","0","11","29","11","0","0.5517241379310345","1","0","0","0","0","265","24.09090909090909","0.24528301886792453,0.07547169811320754,0.07547169811320754,0.07547169811320754,0.07547169811320754,0.07547169811320754,0.07547169811320754,0.07547169811320754,0.07547169811320754,0.07547169811320754,0.07547169811320754","0.15437392795883362,-0.015437392795883367,-0.015437392795883367,-0.015437392795883367,-0.015437392795883367,-0.015437392795883367,-0.015437392795883367,-0.015437392795883367,-0.015437392795883367,-0.015437392795883367,-0.015437392795883367","-6.30808536718839E-18","0,0,0,0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0,0,0,0","0","0","1,1,1,1,1,1,1,1,1,1,1","1,1,1,1,1,1,1,1,1,1,1","1","1","115.58795000000009","","0","0","0","0","0","0","0","0","0","0"
"10_1592484339611_212601333291627.bpmn","False","14","0","14","0","2","11","0","0","11","28","11","0","0.5","1","0","0","0","0","258","23.454545454545453","0.2248062015503876,0.07751937984496124,0.07751937984496124,0.07751937984496124,0.07751937984496124,0.07751937984496124,0.07751937984496124,0.07751937984496124,0.07751937984496124,0.07751937984496124,0.07751937984496124","0.1338971106412967,-0.013389711064129672,-0.013389711064129672,-0.013389711064129672,-0.013389711064129672,-0.013389711064129672,-0.013389711064129672,-0.013389711064129672,-0.013389711064129672,-0.013389711064129672,-0.013389711064129672","-2.52323414687536E-18","0,0,0,0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0,0,0,0","0","0","1,1,1,1,1,1,1,1,1,1,1","1,1,1,1,1,1,1,1,1,1,1","1","1","41.68405799999982","","0","0","0","0","0","0","0","0","0","0"
"11_1552924487304_428102120112024.bpmn","False","12","0","12","4","3","3","0","0","3","20","3","0","0.6","1","0","0","0","0","156","52","0.6538461538461539,0.11538461538461539,0.23076923076923078","0.32051282051282054,-0.21794871794871792,-0.10256410256410253","2.77555756156289E-17","0,0,0","0,0,0","0","0","2,0,1","1,1,1","1","1","33.777182000000266","Academics","0","0","0","0","0","0","0","0","0","0"
"11_1604787484038_2722910156222814.bpmn","False","9","1","10","7","9","3","4","4","2","31","2","2","0.3225806451612903","1.5","0.2857142857142857","0.2857142857142857","0.2222222222222222","0.2","200","100","0.455,0.545","-0.044999999999999984,0.04500000000000004","2.77555756156289E-17","0,0","0,0","0","0","1,1","1,1","1","1","58.7406119999996","IoT","1","1","0","0","0","0","0","0","0","0"
"12_1596634932606_1223162327262316.bpmn","False","8","0","8","0","4","1","0","0","1","15","1","7","0.5333333333333333","0","0","0","0","0.875","0","0","","","0","","","0","0","","","0","0","20.909709999999905","Document Management","0","0","0","0","0","0","0","0","0","0"
"12_1596634937513_103271633245930.bpmn","True","5","0","5","0","1","1","0","0","1","8","1","2","0.625","0","0","0","0","0.4","0","0","","","0","","","0","0","","","0","0","8.086005000000114","Software Engineering","0","0","1","0","0","0","0","0","0","0"
"12_1604788766252_290167342413727.bpmn","False","5","0","5","0","6","2","0","0","1","16","1","1","0.3125","0","0","0","0","0.2","0","0","","","0","","","0","0","","","0","0","31.429282000000057","","0","0","0","0","0","0","0","0","0","0"
"13_1552924496673_3013233329212233.bpmn","False","17","0","17","0","9","3","0","0","3","34","3","0","0.5","1.6666666666666667","0","0","0","0","244","81.33333333333333","0.6352459016393442,0.14754098360655737,0.21721311475409835","0.30191256830601093,-0.18579234972677594,-0.11612021857923496","9.25185853854297E-18","0,0,0","0,0,0","0","0","2,1,0","1,1,1","1","1","43.468777999999475","Healthcare","0","0","0","0","0","0","0","0","0","0"
"13_1604788365291_022321329203469.bpmn","False","6","0","6","2","1","4","0","0","2","11","3","2","0.5454545454545454","0.6666666666666666","0","0.5","0.16666666666666666","0.3333333333333333","98","49","0.7244897959183674,0.2755102040816326","0.22448979591836737,-0.22448979591836737","0","0,0","0,0","0","0","1,1","1,1","1","1","22.661268000000746","IoT","0","0","0","0","0","0","0","0","0","0"
"13_1604790818666_147131926314263.bpmn","False","10","4","14","12","5","6","0","0","3","27","5","3","0.5185185185185185","1","0.4166666666666667","0.25","0.3","0.21428571428571427","201","67","0.6019900497512438,0.13432835820895522,0.263681592039801","0.2686567164179105,-0.1990049751243781,-0.0696517412935323","3.70074341541719E-17","0,0,0","0,0,0","0","0","2,1,1","2,1,1","1.3333333333333333","1.3333333333333333","54.94575799999984","IoT","4","4","0","0","0","0","0","0","0","0"
