fileName,modelIsValidBPMN,modelTNT,modelTNCS,modelTNA,modelTNDO,modelTNG,modelTNEE,modelTNIE,modelTNSE,modelTNE,modelTNSF,modelNP,modelNL,modelCLA,modelCLP,modelPDOPin,modelPDOPout,modelPDOTOut,modelPLT,tapeGU,tapeALU,tapeRLU,tapeLUB,tapeAvgLUB,tapeDI,tapeDD,tapeAvgDI,tapeAvgDD,tapeMI,tapeMD,tapeAvgMI,tapeAvgMD,tapeExecutionTimeMs
00000.bpmn,false,9,0,1,0,2,2,0,0,2,17,1,2,0.058823529411764705,0,0,0,0,2,0,0,,,0,,,0,0,,,0,0,73.39063399999986
00001.bpmn,false,7,0,0,0,0,0,0,0,1,11,0,0,0,0,0,0,0,0,0,0,,,0,,,0,0,,,0,0,13.75125799999978
00002.bpmn,false,9,0,0,1,2,2,3,3,2,18,2,3,0,3,0,1,0.1111111111111111,0,123,61.5,"0.5609756097560976,0.43902439024390244","0.060975609756097615,-0.06097560975609756",2.7755575615628914e-17,"0,0","0,0",0,0,"1,1","1,1",1,1,33.16098899999997
00003.bpmn,false,17,0,0,3,9,4,0,0,3,37,3,2,0,0.3333333333333333,0.6666666666666666,0,0,0,267,89,"0.6928838951310862,0.23220973782771537,0.0749063670411985","0.35955056179775285,-0.10112359550561795,-0.2584269662921348",3.700743415417188e-17,"0,0,0","0,0,0",0,0,"0,1,0","0,0,1",0.3333333333333333,0.3333333333333333,51.65284100000008
00004.bpmn,false,7,0,0,0,4,1,6,6,2,19,2,4,0,0,0,0,0,0,0,0,,,0,,,0,0,,,0,0,41.22614500000009
00005.bpmn,false,15,0,0,0,4,3,1,1,3,27,3,5,0,1,0,0,0,0,211,70.33333333333333,"0.6113744075829384,0.25118483412322273,0.13744075829383887","0.27804107424960506,-0.08214849921011058,-0.19589257503949445",9.25185853854297e-18,"0,0,0","0,0,0",0,0,"2,1,0","1,1,1",1,1,38.072114000000056
00006.bpmn,false,6,0,0,3,2,1,2,2,2,13,0,2,0,0,0,1,0.5,0,0,0,,,0,,,0,0,,,0,0,24.475906000000123
00007.bpmn,false,17,0,0,3,9,4,0,0,3,37,3,2,0,0.3333333333333333,0.6666666666666666,0,0,0,267,89,"0.6928838951310862,0.23220973782771537,0.0749063670411985","0.35955056179775285,-0.10112359550561795,-0.2584269662921348",3.700743415417188e-17,"0,0,0","0,0,0",0,0,"0,1,0","0,0,1",0.3333333333333333,0.3333333333333333,47.034258999999565
00008.bpmn,false,7,0,0,0,4,2,4,4,1,17,2,0,0,1,0,0,0,0,121,60.5,"0.6694214876033058,0.3305785123966942","0.16942148760330578,-0.16942148760330578",0,"0,0","0,0",0,0,"1,1","1,1",1,1,18.373675000000276
00009.bpmn,false,5,0,1,2,1,2,0,0,1,7,0,1,0.14285714285714285,0,0.5,0.5,0.2,1,0,0,,,0,,,0,0,,,0,0,17.868095000000267
