Process Component,Sub-Component,SubSub-Component,Perspective,Trust Concern,Root,Question,Process Dependency
Activity,Task,All / Attached Data Output,Data,Integrity,data,Is the data output of this task correct?,Attached Task
,,All / Attached Data Output,Data,Confidentiality,data,Is the data output only visible to authorized entities?,
,,All / Attached Data Output,Data,Non-Repudiation,data,Can the data output not be denied later on?,
,,All / Attached Data Output,Data,Availability,data,Is the data storage available?,
,,Manual Task,Functional,Integrity,resource,Do the involved resources execute the activity correctly?,None
,,Manual Task,Functional,Confidentitality,resource,Do the involved resources conform to the confidentiality requirements?,None
,,Manual Task,Functional,Non-Repudiation,resource,Can the resource not deny that the task was executed?,None
,,Manual Task,Functional,Availability,resource,Are all resources available to execute the task?,None
,,Manual Task,Functional,Performance,resource,Is the task's performance as required?,None
,,Manual Task,Functional,Resilience,resource,Is there a fallback if the task fails?,None
,,User Task,Functional,Integrity,"resource, software",Do the resource and the system execute the activity correctly?,None
,,User Task,Functional,Confidentitality,"resource, software",Do the involved resources and the system conform to the confidentiality requirements?,None
,,User Task,Functional,Non-Repudiation,"resource, software",Can the resource and the system not deny that the task was executed?,None
,,User Task,Functional,Availability,"resource, software",Are all resources and systems available to execute the task?,None
,,User Task,Functional,Performance,"resource, software",Is the task's performance as required?,None
,,User Task,Functional,Resilience,"resource, software",Is there a fallback if the task fails?,None
,,Business Rule Task,Functional,Integrity,"software, (bpms)",Does the BPMS execute the activity correctly?,None
,,Business Rule Task,Functional,Confidentitality,"software, (bpms)",Does the BPMS conform to the confidentiality requirements?,None
,,Business Rule Task,Functional,Non-Repudiation,"software, (bpms)",Can it be denied that the task was executed?,None
,,Business Rule Task,Functional,Availability,"software, (bpms)",Is the bpms available to execute the task?,None
,,Business Rule Task,Functional,Performance,"software, (bpms)",Is the task's performance as required?,None
,,Business Rule Task,Functional,Resilience,"software, (bpms)",Is there a fallback if the task fails?,None
,,Service Task,Functional,Integrity,"software, (bpms)",Does the service execute the activity correctly?,None
,,Service Task,Functional,Confidentitality,"software, (bpms)",Does the service conform to the confidentiality requirements?,None
,,Service Task,Functional,Non-Repudiation,"software, (bpms)",Can it be denied that the task was executed?,None
,,Service Task,Functional,Availability,"software, (bpms)",Is the service available to execute the task?,None
,,Service Task,Functional,Performance,"software, (bpms)",Is the task's performance as required?,None
,,Service Task,Functional,Resilience,"software, (bpms)",Is there a fallback if the task fails?,None
,,Script Task,Functional,Integrity,"software, (bpms)",Does the BPMS execute the activity correctly?,None
,,Script Task,Functional,Confidentitality,"software, (bpms)",Does the BPMS conform to the confidentiality requirements?,None
,,Script Task,Functional,Non-Repudiation,"software, (bpms)",Can it be denied that the task was executed?,None
,,Script Task,Functional,Availability,"software, (bpms)",Is the bpms available to execute the task?,None
,,Script Task,Functional,Performance,"software, (bpms)",Is the task's performance as required?,None
,,Script Task,Functional,Resilience,"software, (bpms)",Is there a fallback if the task fails?,None
,,Send Task,Functional,Integrity,"organization, (software, resource)",Is the right message send?,None
,,Send Task,Functional,Confidentitality,"organization, (software, resource)",Is the message only visible to authorized entities?,None
,,Send Task,Functional,Non-Repudiation,"organization, (software, resource)",Can it be denied that the message was sent?,None
,,Send Task,Functional,Availability,"organization, (software, resource)",Are all components available to create an transmit the message?,None
,,Send Task,Functional,Performance,"organization, (software, resource)",Is the message sending's performance as required?,None
,,Send Task,Functional,Resilience,"organization, (software, resource)",Is there a fallback if the sending of the message fails fails?,None
,,Receive Task,Functional,Integrity,"organization, (software, resource)",Is the incoming message processed correctly be receiver?,None
,,Receive Task,Functional,Confidentitality,"organization, (software, resource)",Is the incoming message only visible the authorized entities?,None
,,Receive Task,Functional,Non-Repudiation,"organization, (software, resource)",Can it be denied that the message was received?,None
,,Receive Task,Functional,Availability,"organization, (software, resource)",Are all components available to process and store the incoming message?,None
,,Receive Task,Functional,Performance,"organization, (software, resource)",Is the message processing's performance as required?,None
,,Receive Task,Functional,Resilience,"organization, (software, resource)",Is there a fallback if the receiving of the message fails?,None
Event,Event,-,Functional,Integrity,transitive,Is the right event emitted and executed correctly?,Preceeding Component
,Event,-,Functional,Confidentiality,transitive,Is the event only visible to the right entities?,Preceeding Component
,Event,-,Functional,Non-Repudiation,transitive,Can the occurrence of the event not be denied,Preceeding Component
,Event,-,Functional,Availability,transitive,Are all resources and systems available for the event?,Preceeding Component
Gateway,Or Split,-,Functional,Integrity,transitive,Is the decision made correctly?,Preceeding Component
,Or Split,-,Functional,Confidentiality,organization,Can only authorized entities see how the decision was made?,Preceeding Component
,Or Split,-,Functional,Non-Repudiation,organization,Can a decision not be reverted once it is made?,Preceeding Component
,Or Split,-,Functional,Availability,organization,All all components for a decision avialable?,Preceeding Component
,Parallel Split,-,Functional,Integrity,organization,Is the parallelization made correctly?,Preceeding Component
,Parallel Split,-,Functional,Confidentiality,organization,Can only authorized entities see how the paralell behavior?,Preceeding Component
,Join,-,Functional,Integrity,organization,Are all waiting conditions fulfilled?,None
Control Flow,Attached Data Input,-,Data,Integrity,data,Is the data not modfied between two nodes within one organization?,None
,Attached Data Object,-,Data,Confidentiality,data,Is the data during its transfer between nodes only visible to authorized entities?,None
,-,-,Control Flow,Integrity,organization,Is the control flow executed correctly?,None
,-,-,Control Flow,Confidentiality,organization,Is the internal control flow only visible to authorized entities?,None
,-,-,Control Flow,Performance,organization,Is the transitions between nodes fast enough?,None
Message Flow,Attached Data Input,-,Data,Integrity,data,Is the data not modfied between two nodes from different organizations?,None
,Attached Data Object,-,Data,Confidentiality,data,Is the data during its transfer between nodes only visible to authorized entities?,None
,-,-,Control Flow,Integrity,organization,Is the control flow executed correctly?,None
,-,-,Control Flow,Confidentiality,organization,Is the inter-organizational control flow only visible to authorized entities?,None
,-,-,Control Flow,Performance,organization,Is the transitions between nodes fast enough?,None
